Handle,Command,Title,Type,Vendor,Published
ski-hat-with-visor-2,UPDATE,Ski Hat with Visor,Ski Hats,sellanything,TRUE
value-classic-paisley-bandana-imported-100-cotton,UPDATE,Value Classic Paisley Bandana Imported 100% Cotton,Paisley Bandanas,WholesaleForEveryone,TRUE
